City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
667,Mangrol,IN,21.12,70.12,76.68,68,0,9.78,clear sky
668,Birjand,IR,32.87,59.22,39.52,64,0,6.91,clear sky
669,Boshnyakovo,RU,49.63,142.17,40.91,83,97,6.42,overcast clouds
670,Saint Anthony,US,45.02,-93.22,35.6,97,57,5.86,broken clouds
671,Vallenar,CL,-28.57,-70.76,68.09,39,0,4.23,clear sky
672,Bosaso,SO,11.28,49.18,77.02,65,0,5.26,clear sky
673,Kishi,NG,9.08,3.85,75.18,41,0,1.9,clear sky
674,Jacareacanga,BR,-6.22,-57.75,82.29,68,93,2.21,light rain
675,Maumere,ID,-8.62,122.21,82.26,72,42,1.43,scattered clouds
676,Iskateley,RU,67.68,53.15,36.43,98,100,9.57,light rain
677,Belaya Gora,RU,68.53,146.42,4.3,94,100,5.79,overcast clouds
678,Khani,GE,41.96,42.96,61.68,32,26,6.04,scattered clouds
679,Arklow,IE,52.79,-6.14,44.01,83,30,7.0,scattered clouds
680,Sao Paulo De Olivenca,BR,-3.38,-68.87,77.86,94,100,2.51,overcast clouds
681,Anaconda,US,46.13,-112.94,44.01,68,41,8.99,scattered clouds
